id_order,product_id,product_name,product_price
10985,1836,Œliczny rêcznie wykonany szal z kaszmiru w kolorze pomarañczowym,259
11105,9547,Czapka z kaszmiru mêska w kolorze granatowym,179
11105,6375,Czapka z kaszmiru mêska w kolorze zielonym,179
11110,9874,Pomarañczowy szal z we³ny,99
11110,4382,Szal z we³ny w kolorze popielatym,99
11110,10818,Szal z we³ny w kolorze br¹zowo be¿owym,130
11110,10946,"Czerwony szal jedwabny, wzór orientalny",172
11110,7590,Szal z jedwabiu w kolorze br¹zowo be¿owym,165
11110,8283,Szal z jedwabiu w kolorze szarym,190
11110,7984,Szal z we³ny merino cieniowany fioletowy niebieski,190
11110,10200,Chusta indyjska ze wzorem orientalnym,175
11110,9879,Be¿owy szal z we³ny,99
11127,10057,"Czarno bordowy szal z jedwabiu, wzór orientalny",172
11127,5999,We³niany szal indyjski Kani,255
11185,187,Szalik z kaszmiru z podwójnym przeplotem w kolorze bordowym bez frêdzli,239
11239,9377,"Szal z we³ny merino w kolorze zielonym, z kwiatowym wzorem",192
11239,10706,Wyszywany szal Aari z we³ny merino w kolorze granatowym z srebrnym wzorem,378
11275,8638,Szal z jedwabiu wielokolorowy z kwiatowym wzorem,172
11275,8564,Szal z jedwabiu w kolorze kremowym z kwiatowym wzorem,172
11296,10017,Delikatny szal z kaszmiru w kolorze grafitowym,465
11296,3763,"Delikatny, elegancki szal z kaszmiru, w kolorze szarym",299
11296,6197,Delikatny szal z kaszmiru w kolorze ciemno szarym,385
13398,7926,Szal z we³ny merino w kolorze granatowym,190
13398,12100,Szal z we³ny merino cieniowany w kolorze granatowym,190
13398,7955,Szal z we³ny merino w kolorze be¿owym,190
13426,9523,Szal ¿akardowy z we³ny merino w kolorze czarnym,190
13426,9891,Szal z we³ny w kolorze fuksji,139
13426,13232,Szal z we³ny w kolorze czarnym,139
13426,9904,Szal z we³ny w kolorze czerwonym,139
13490,12020,"Szal z jedwabiu dwustronny, w kolorze czerwonego wina",172
13490,11948,"Szal z jedwabiu dwustronny, w kolorze szarym",192
13518,170,Szal z jedwabiu w kolorze jasno fioletowo niebieskim,79
13518,13343,Szal z we³ny w kolorze jasno br¹zowym,139
13568,11862,"Szal z jedwabiu dwustronny, w kolorze bak³a¿ana",172
13568,11414,"Ró¿owo czarny szal jedwabny, wzór orientalny",146
13706,9332,Grafitowy szalik z we³ny,125
13706,12616,Czapka z we³ny w kolorze czarnym,119
13856,6245,"Delikatny, elegancki szal z kaszmiru, w kolorze brzoskwiniowym",299
13856,3095,"Delikatny, elegancki szal z kaszmiru, w kolorze b³êkitno-bia³ym",299
13892,11849,"Szal z jedwabiu dwustronny, cieniowany w kolorze wiœniowo czerwonym",172
13892,6612,We³niany szal indyjski w kolorze musztardowym,199
13912,12629,Czapka z we³ny w kolorze granatowym,119
